id,dimension,domain,primary_facet,secondary_facet,high_pole_behavior,low_pole_behavior,forbidden_load,value_monotonic,cross_load_risk,status
O1,O,新环境与不确定性,Actions,Ideas,"主动投入新工具、边做边学","倾向沿用熟悉方法、推迟迁移成本",C,Y,green,pass
C1,C,工作与学习,Self-Discipline,Order,"主动建立完整步骤与时间结构","凭兴趣即兴推进、不预设结构",O,Y,green,pass
E1,E,新环境与不确定性,Gregariousness,Assertiveness,"主动发起社交、连接他人","等待被动接入、观察优先",A,Y,green,pass
A1,A,冲突与压力,Compliance,Altruism,"主动寻求共同目标与折中","坚持自认正确的立场、快速决断",C,Y,green,pass
R1,R,新环境与不确定性,Vulnerability,Anxiety,"快速从挫折恢复、转向新办法","优先盘算损失与风险、情绪被占用",C,Y,green,pass
O2,O,个人恢复与长期选择,Actions,Fantasy,"拥抱不确定的即兴探索","偏好可预期、有口碑的熟悉路线",C,Y,green,pass
C2,C,个人恢复与长期选择,Order,Self-Discipline,"给多项事务分配时间结构","凭当下心境即兴选择",R,Y,green,pass
E2,E,工作与学习,Gregariousness,Activity,"通过与他人交谈组织和生成思路","先独立思考形成框架再交流",O,Y,green,pass
A2,A,合作与关系,Compliance,Straightforwardness,"优先维护对方情绪与关系","优先指出问题、直率提醒",R,Y,green,pass
R2,R,冲突与压力,Anxiety,Self-Consciousness,"快速剥离情绪、就内容处理批评","反刍措辞、情绪被占用",A,Y,green,pass
O3,O,合作与关系,Fantasy,Ideas,"享受对未来可能性的想象与漫谈","偏好聚焦实际问题、对空谈无感",E,Y,green,pass
C3,C,合作与关系,Self-Discipline,Order,"守住长期承诺、主动管理日程","随当下优先级即兴调整",A,Y,green,pass
E3,E,个人恢复与长期选择,Activity,Gregariousness,"从社交与活动中恢复能量","从独处与安静中恢复",R,Y,green,pass
A3,A,工作与学习,Altruism,Compliance,"优先照顾成员投入、寻求无输家方案","优先整体收益、按己见决断",C,Y,green,pass
R3,R,个人恢复与长期选择,Anxiety,Self-Consciousness,"在不确定等待中保持日常节奏","反复搜寻信息、被不确定占用",C,Y,green,pass
O4,O,工作与学习,Actions,Ideas,"主动投入新做法、承担迁移成本","倾向维持稳定熟悉流程",C,Y,green,pass
C4,C,新环境与不确定性,Order,Self-Discipline,"提前列清单、结构化准备","临场依据状态快速收拾",R,Y,green,pass
E4,E,冲突与压力,Assertiveness,Gregariousness,"主动开口带动群体推进","等待他人带头、回避主导",C,Y,green,pass
A4,A,新环境与不确定性,Trust,Altruism,"信任新人、放权交付","优先稳妥、不放心交给新人",R,Y,green,pass
R4,R,工作与学习,Vulnerability,Anxiety,"快速回归日常、延迟复盘","需要较长时间回避类似情境",C,Y,green,pass
O5,O,冲突与压力,Ideas,Actions,"主动对比多种说法、拓宽认知范围","聚焦眼前需要、窄而深地学习",C,Y,green,pass
C5,C,冲突与压力,Achievement Striving,Self-Discipline,"自设阶段目标、按进度持续推进","依兴趣与状态即兴推进",R,Y,green,pass
E5,E,合作与关系,Assertiveness,Gregariousness,"主动公开表达、承担展示","偏好幕后准备、回避公开",A,Y,green,pass
A5,A,个人恢复与长期选择,Compliance,Altruism,"兼顾双方在意、寻求新方案","直接提出己方方案、让对方裁决",C,Y,green,pass
R5,R,合作与关系,Impulsiveness,Anxiety,"压力下不被情绪占用、快速恢复行动","压力骤升时被情绪驱动、需缓一缓才能动",C,Y,green,pass
OX1,O,个人恢复与长期选择,Ideas,Actions,"主动踏入完全陌生的阅读领域","偏好熟悉确定的作者与类型",C,Y,green,pass
OX2,O,冲突与压力,Actions,Ideas,"愿意完整尝试未验证的新方案","优先选用成熟稳妥的老办法",R,Y,green,pass
OX3,O,合作与关系,Actions,Ideas,"完整体验陌生活动再判断","偏好确定能放松的熟悉活动",E,Y,green,pass
CX1,C,工作与学习,Self-Discipline,Order,"主动全面核查已完成工作","满足于基本完成、推迟检查",R,Y,green,pass
CX2,C,新环境与不确定性,Self-Discipline,Order,"坚持原计划、不被新机会带偏","随新机会即兴调整计划",O,Y,yellow,pass
CX3,C,个人恢复与长期选择,Self-Discipline,Achievement Striving,"用明确时间结构维持习惯","依兴趣与状态自然维持",R,Y,green,pass
EX1,E,个人恢复与长期选择,Gregariousness,Activity,"独处后主动寻求社交与热闹","独处后仍倾向继续安静",R,Y,green,pass
EX2,E,工作与学习,Assertiveness,Gregariousness,"想法未成型就主动表达交流","等想法成熟后再与人交流",O,Y,green,pass
EX3,E,新环境与不确定性,Assertiveness,Gregariousness,"主动开场带动新群体交流","先观察、被动等待融入",A,Y,green,pass
AX1,A,冲突与压力,Compliance,Altruism,"优先维护长期关系、容忍短期损失","让违约方承担后果、坚持原则",R,Y,green,pass
AX2,A,工作与学习,Straightforwardness,Compliance,"顾及面子、私下沟通再公开","当场直率指出问题",C,Y,green,pass
AX3,A,个人恢复与长期选择,Compliance,Altruism,"优先配合他人、调整自己安排","按自己安排直接拒绝",C,Y,green,pass
RX1,R,新环境与不确定性,Anxiety,Self-Consciousness,"容忍不确定、边走边解决","需充分排查确定后才行动",C,Y,green,pass
RX2,R,合作与关系,Anxiety,Self-Consciousness,"不被未回复占用、继续做事","反复查看、猜测对方意图",A,Y,green,pass
RX3,R,冲突与压力,Self-Consciousness,Anxiety,"快速跳过失误、继续推进","反刍失误、后续表现受影响",E,Y,green,pass
